ztfname,gal_type,SN_component,sn_bulge_prob,sn_bar_prob,SB_local_c,SB_local_g,SB_local_r,SB_local_g_err,SB_local_r_err,R25_g,R25_r,R25_err,gal_Re,gal_ecc,gal_pa
ZTF18abmoung,disk,disk,0.0,0.0,0.4957414569576883,20.98216187671015,20.486420419752463,0.0171132254203216,0.0179731859914728,8.672216723842586,9.386066916110758,0.0138046906876091,2.623962826947505,0.345094978502271,1.8016090897001604
ZTF18abmrhom,bulge+disk,bulge,3.046683329793311,0.0,0.7916019707644999,19.67941389149188,18.887811920727376,0.3879038504625573,0.3943322041057825,35.36916409676221,38.86459747526721,0.1278230117741325,16.35911514808248,0.2675538480668366,2.1502461927611813
ZTF18abmrzun,bulge+disk,disk,0.192986173439495,0.0,0.3735599862762839,22.145111931254444,21.77155194497816,0.0621167793124299,0.0727680890752867,18.002237027667775,19.03632967192545,0.0688920399636299,7.680448724698487,0.3214255094129699,0.3217871156316551
ZTF18abmwpyl,bulge+bar+disk,disk,0.0,4.639170002300409e-07,0.4308165375969253,24.1537367605137,23.722920222916773,0.0225020566470896,0.0224401568383067,36.79766583853205,40.55063056980443,0.111852339232221,15.874074699219824,0.2377037486282576,2.6495439665350577
ZTF18abmwzpt,bulge,elliptical,0.0,0.0,0.7331354094869234,18.877889070080577,18.14475366059365,0.0312986096077546,0.0315201069089849,27.66829720810069,33.375848325179,0.0944218774880356,8.296163987428548,0.4681075903916344,3.0087070399748232
ZTF18aboebsg,disk,disk,0.0,0.0,0.3080317726419856,24.15694748850237,23.84891571586039,0.0118657230072816,0.0114501893107573,4.975336849964155,5.352618811885397,0.0179179345602207,2.231908380388841,0.1543904505857402,2.648493819091639
ZTF18abomklq,bulge+disk,bulge,6.450818169828654,0.0,0.6900599187130076,19.36256170221889,18.672501783505883,0.032749697169081,0.0366216601694887,27.898547873332166,31.15608315752701,0.3406146133871,13.82589440941215,0.4107510951182171,2.3456827835934573
ZTF18aboqykf,bulge,elliptical,0.0,0.0,0.6380915952481381,23.600453465979594,22.962361870731456,0.0638181683233614,0.0639522586022689,27.63958068635585,35.22255364306046,0.2005475619538581,7.405750679185618,0.1989162419816417,1.8881898126927303
ZTF18aboztku,bulge,elliptical,0.0,0.0,0.6972142937038761,17.433812159741795,16.73659786603792,0.0184277378773636,0.0187155356599792,10.309266325385831,12.68683791655102,0.0156047743557409,1.697634323776882,0.4132270223016099,1.087937593097949
ZTF18abrlupd,disk,disk,0.0,0.0,0.4657208887741646,21.58554451921799,21.119823630443825,0.0160724690959091,0.0155647660443564,10.075830991664429,11.060899536268716,0.0184448246855835,3.8543093620969096,0.4176522977784478,1.165678176629864
ZTF18abrwudp,disk,disk,0.0,0.0,0.463975749090018,22.71428905087329,22.250313301783272,0.021323849150832,0.0192615784213962,13.902925086639382,15.348226560102114,0.0479547905083002,5.676347831458785,0.0708037948133097,1.1521305762339251
ZTF18abshmro,bulge+bar+disk,bulge,0.5304855637393932,2.016676107655539,0.7645704368097057,20.24088370991346,19.47631327310376,0.5779555933013527,0.5769793994574436,22.51471824091979,25.693770210932065,0.0799491339530477,11.278483622479548,0.2147212386561692,2.741339235113179
ZTF18absqhza,bulge,elliptical,0.0,0.0,0.6995889011345433,24.821318595785197,24.12172969465065,0.0105380004625527,0.0104755972371867,16.77276609409991,20.25561413593775,0.0238892738805795,5.134826203042249,0.2396900916071845,1.5056164252123774
ZTF18absqlcg,bulge,elliptical,0.0,0.0,0.5614267025174158,22.18745830407583,21.626031601558413,0.0929460213025714,0.0928188972729964,24.72944773989171,30.555634541461657,0.3001699537088242,8.219260441179928,0.309569697068237,1.3956208187683838
ZTF18abtfrbf,bulge+disk,disk,0.1676523570498201,0.0,0.3922268240571753,22.6225647390891,22.230337915031924,0.0698193393793584,0.1063815849409077,21.838336385075824,23.29846789116204,0.1041070739165427,11.218699740731273,0.2802138663635229,1.6485222793162464
ZTF18abtgnky,disk,disk,0.0,0.0,0.3022657347751298,24.05865982226579,23.75639408749066,0.0151203952605652,0.013231802985955,9.620552793858128,10.3371629624574,0.0241397841485153,4.320160530575497,0.2513018025638647,0.4045098392863686
ZTF18abtjpoy,bulge,elliptical,0.0,0.0,0.737171888342047,20.99997168699597,20.262799798653923,0.0666597868769562,0.0669738537453076,25.9433299111524,35.47934883899054,0.4281752805242441,15.175444888741207,0.3365808010683958,1.2339851903211971
ZTF18abtlrqh,bulge,elliptical,0.0,0.0,0.5292205076443004,19.957084181643328,19.427863673999028,0.0249264098401577,0.0246756208259988,16.644980260467932,19.09168986637451,0.0352146703101021,3.789978111783909,0.3670932782591096,3.1233591542317387
ZTF18abtxvhy,disk,disk,0.0,0.0,0.3135927602699588,22.155246180669725,21.84165342039977,0.0170866771709713,0.0163923474055206,6.194837894699105,6.627677164304874,0.0160110526812598,2.515164901142194,0.354507901502966,2.7978540335075746
ZTF18abtzzka,disk,disk,0.0,0.0,0.4507512514061993,22.814717603811538,22.36396635240534,0.0193234844259932,0.0181459039637121,7.903917440132876,8.753524137031519,0.0197125162121491,3.4346842774781665,0.273112090023792,2.8396260965166404
